,ï»¿S_No,State,st_case,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,LGT_COND,WEATHER,DRUNK_DR,fatals,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,Cname,Sname,lighting,climate,drunk
5670,5671,9,90118,8,9,430,15,8,2015,7,21,10,41.30434722,-72.91386111,3,1,1,1,21,10,21,15,99,99,NEW HAVEN,Connecticut,Dark,Clear,TRUE
5671,5672,9,90119,2,3,435,25,5,2015,2,7,5,41.66146389,-72.72226111,1,1,0,1,7,12,7,26,8,3,NEWINGTON,Connecticut,Daylight,Clear,FALSE
5672,5673,9,90120,1,3,225,26,12,2015,7,3,56,41.76416944,-72.63224167,3,1,1,1,99,99,99,99,99,99,EAST HARTFORD,Connecticut,Dark,Clear,TRUE
5673,5674,9,90121,4,5,450,2,8,2015,1,15,58,41.60948611,-73.40280833,1,1,0,1,15,58,15,59,16,52,NEW MILFORD,Connecticut,Daylight,Clear,FALSE
5674,5675,9,90122,2,3,258,22,5,2015,6,16,41,41.97669444,-72.798525,1,1,0,1,16,45,16,52,17,23,GRANBY,Connecticut,Daylight,Clear,FALSE
5675,5676,9,90123,3,15,749,19,9,2015,7,15,43,42.0252,-71.94631111,1,1,0,1,15,43,99,99,99,99,THOMPSON,Connecticut,Daylight,Clear,FALSE
5676,5677,9,90124,3,5,572,21,9,2015,2,18,13,41.67141944,-73.00991389,1,1,1,2,18,31,18,42,19,18,PLYMOUTH,Connecticut,Daylight,Clear,TRUE
5677,5678,9,90125,37,1,510,7,10,2015,4,15,19,41.10543611,-73.42661389,1,1,0,1,99,99,99,99,99,99,NORWALK,Connecticut,Daylight,Clear,FALSE
5678,5679,9,90126,3,11,386,4,9,2015,6,21,22,41.47559444,-72.10001944,3,1,1,1,21,21,21,27,21,48,MONTVILLE,Connecticut,Dark,Clear,TRUE
5679,5680,9,90127,2,13,368,29,9,2015,3,20,0,41.83052778,-72.29358889,2,2,1,1,19,99,20,8,88,88,MANSFIELD CENTER,Connecticut,Dark,Rain,TRUE
5680,5681,9,90128,1,5,817,30,9,2015,4,21,40,41.6152,-73.06158611,2,1,0,1,21,40,99,99,99,99,WATERTOWN,Connecticut,Dark,Clear,FALSE
5681,5682,9,90129,1,5,760,5,10,2015,2,1,17,41.82640833,-73.17871111,3,1,1,1,1,17,1,21,88,88,TORRINGTON,Connecticut,Dark,Clear,TRUE
5682,5683,9,90130,1,7,205,6,10,2015,3,0,18,41.43711944,-72.719675,2,1,1,1,0,18,99,99,88,88,DURHAM,Connecticut,Dark,Clear,TRUE
5683,5684,9,90131,1,7,580,8,8,2015,7,14,59,41.59123056,-72.53760556,1,1,0,1,14,59,99,99,88,88,PORTLAND,Connecticut,Daylight,Clear,FALSE
5684,5685,9,90132,2,9,110,10,10,2015,7,18,56,41.47436944,-72.90650556,3,1,0,1,18,56,18,58,88,88,CHESHIRE,Connecticut,Dark,Clear,FALSE
5685,5686,9,90133,1,7,120,11,10,2015,1,20,56,41.40721667,-72.476275,2,1,0,1,99,99,99,99,88,88,CHESTER,Connecticut,Dark,Clear,FALSE
5686,5687,9,90134,1,5,51,11,10,2015,1,15,57,41.63484444,-73.20886111,1,1,1,1,99,99,99,99,99,99,BETHLEHEM,Connecticut,Daylight,Clear,TRUE
5687,5688,9,90135,2,9,669,14,10,2015,4,18,14,41.49196944,-73.16722222,5,1,0,1,18,34,18,41,19,32,SOUTHBURY,Connecticut,Dusk,Clear,FALSE
5688,5689,9,90136,3,1,650,15,10,2015,5,18,18,41.293625,-73.11013333,3,1,0,1,18,19,18,32,99,99,SHELTON,Connecticut,Dark,Clear,FALSE
5689,5690,9,90137,2,9,810,15,1,2015,5,23,49,41.55011389,-73.01493333,3,1,1,1,23,49,23,50,99,99,WATERBURY,Connecticut,Dark,Clear,TRUE
5690,5691,9,90138,2,3,90,16,10,2015,6,11,52,41.66346111,-72.93862778,1,1,0,1,11,59,12,9,12,34,BRISTOL,Connecticut,Daylight,Clear,FALSE
5691,5692,9,90139,1,5,760,19,10,2015,2,23,40,41.79656389,-73.11153889,3,1,1,1,23,40,99,99,99,99,TORRINGTON,Connecticut,Dark,Clear,TRUE
5692,5693,9,90140,5,1,510,6,10,2015,3,15,14,41.130725,-73.42848333,1,1,0,1,99,99,99,99,99,99,NORWALK,Connecticut,Daylight,Clear,FALSE
5693,5694,9,90141,2,13,228,20,10,2015,3,0,31,41.89762778,-72.46006944,2,1,1,1,0,33,0,36,1,13,ELLINGTON,Connecticut,Dark,Clear,TRUE
5694,5695,9,90142,1,5,760,22,10,2015,5,15,10,41.79554722,-73.11430833,1,1,0,1,15,9,15,12,15,31,TORRINGTON,Connecticut,Daylight,Clear,FALSE
5695,5696,9,90143,1,9,370,28,9,2015,2,14,58,41.53897778,-72.81023056,1,1,0,1,14,58,15,2,15,16,MERIDEN,Connecticut,Daylight,Clear,FALSE
5696,5697,9,90144,1,11,505,4,9,2015,6,9,46,41.41168889,-71.85535278,1,1,0,1,9,46,10,5,11,7,NORTH STONINGTON,Connecticut,Daylight,Clear,FALSE
5697,5698,9,90145,3,1,765,24,10,2015,7,9,0,41.23323056,-73.15810833,1,1,0,1,99,99,99,99,99,99,TRUMBULL,Connecticut,Daylight,Clear,FALSE
5698,5699,9,90146,4,9,375,25,10,2015,1,22,2,41.51423056,-73.12024722,2,1,0,1,22,2,99,99,99,99,MIDDLEBURY,Connecticut,Dark,Clear,FALSE
5699,5700,9,90147,1,3,280,10,11,2015,3,10,54,41.78898333,-72.67844444,1,10,0,1,10,57,11,2,11,14,HARTFORD,Connecticut,Daylight,Unknown,FALSE
5700,5701,9,90148,1,1,700,16,9,2015,4,22,10,41.05677778,-73.51784722,1,1,0,1,22,11,22,16,22,45,STAMFORD,Connecticut,Daylight,Clear,FALSE
5701,5702,9,90149,1,15,180,31,10,2015,7,21,56,41.80168056,-71.88620556,3,1,1,1,21,56,99,99,88,88,DANIELSON,Connecticut,Dark,Clear,TRUE
5702,5703,9,90150,1,11,520,21,11,2015,7,22,2,41.58377222,-72.06142778,3,1,0,1,22,3,22,14,22,35,NORWICH,Connecticut,Dark,Clear,FALSE
5703,5704,9,90151,1,11,710,4,8,2015,3,11,8,41.38265556,-71.89626389,1,1,0,1,11,24,11,31,11,54,STONINGTON,Connecticut,Daylight,Clear,FALSE
5704,5705,9,90152,1,11,505,14,8,2015,6,14,16,41.43926389,-71.84798889,1,1,0,1,14,16,14,23,15,2,NORTH STONINGTON,Connecticut,Daylight,Clear,FALSE
5705,5706,9,90153,2,11,66,30,10,2015,6,8,1,41.52383889,-72.20614444,1,1,0,1,99,99,99,99,88,88,BOZRAH,Connecticut,Daylight,Clear,FALSE
5706,5707,9,90154,1,9,265,3,11,2015,3,17,30,41.28791111,-72.68394167,3,1,0,1,17,29,17,33,17,53,GUILFORD,Connecticut,Dark,Clear,FALSE
5707,5708,9,90155,3,15,749,5,11,2015,5,20,27,41.96002778,-71.87567222,2,1,1,2,99,99,99,99,88,88,THOMPSON,Connecticut,Dark,Clear,TRUE
5708,5709,9,90156,2,9,222,7,11,2015,7,16,53,41.32409167,-72.83997778,3,1,0,1,99,99,99,99,99,99,EAST HAVEN,Connecticut,Dark,Clear,FALSE
5709,5710,9,90157,1,9,810,7,11,2015,7,22,9,41.54775556,-73.02719444,3,1,0,1,22,9,99,99,99,99,WATERBURY,Connecticut,Dark,Clear,FALSE
5710,5711,9,90158,2,3,46,5,11,2015,5,19,28,41.61408333,-72.744825,3,2,0,1,99,99,99,99,99,99,BERLIN,Connecticut,Dark,Rain,FALSE
5711,5712,9,90159,2,3,280,8,11,2015,1,10,12,41.76813333,-72.65756944,1,1,0,1,10,12,10,18,99,99,HARTFORD,Connecticut,Daylight,Clear,FALSE
5712,5713,9,90160,2,9,375,1,11,2015,1,3,8,41.50111111,-73.15231111,2,1,0,1,3,7,3,14,99,99,MIDDLEBURY,Connecticut,Dark,Clear,FALSE
5713,5714,9,90161,1,5,350,6,11,2015,6,17,6,41.71172778,-73.26673333,2,1,0,1,99,99,99,99,99,99,LITCHFIELD,Connecticut,Dark,Clear,FALSE
5714,5715,9,90162,1,3,225,11,10,2015,1,8,50,41.76815278,-72.59643611,1,1,0,1,99,99,99,99,99,99,EAST HARTFORD,Connecticut,Daylight,Clear,FALSE
5715,5716,9,90163,1,13,368,11,11,2015,4,22,28,41.75648056,-72.19438333,2,1,1,1,22,28,22,34,88,88,MANSFIELD CENTER,Connecticut,Dark,Clear,TRUE
5716,5717,9,90164,1,15,12,16,11,2015,2,0,31,41.95755833,-72.19368611,2,1,0,1,0,31,0,43,99,99,ASHFORD,Connecticut,Dark,Clear,FALSE
5717,5718,9,90165,1,3,845,19,11,2015,5,5,32,41.91606111,-72.62699167,3,1,1,1,99,99,99,99,99,99,WINDSOR LOCKS,Connecticut,Dark,Clear,TRUE
5718,5719,9,90166,3,9,538,21,11,2015,7,8,18,41.27609722,-73.04317222,1,1,0,1,99,99,99,99,99,99,ORANGE,Connecticut,Daylight,Clear,FALSE
5719,5720,9,90167,1,9,370,22,11,2015,1,1,56,41.51948611,-72.81359444,3,1,1,1,99,99,99,99,88,88,MERIDEN,Connecticut,Dark,Clear,TRUE
5720,5721,9,90168,3,9,110,22,11,2015,1,9,38,41.55615,-72.914625,1,2,0,1,9,39,99,99,99,99,CHESHIRE,Connecticut,Daylight,Rain,FALSE
5721,5722,9,90169,1,3,845,28,11,2015,7,2,52,41.92580278,-72.60960556,3,1,1,1,99,99,99,99,88,88,WINDSOR LOCKS,Connecticut,Dark,Clear,TRUE
5722,5723,9,90170,1,3,823,9,9,2015,4,19,57,41.72726389,-72.75834444,3,1,0,1,99,99,99,99,99,99,WEST HARTFORD,Connecticut,Dark,Clear,FALSE
5723,5724,9,90171,5,1,765,26,11,2015,5,0,58,41.22785833,-73.17091111,2,1,1,1,99,99,99,99,99,99,TRUMBULL,Connecticut,Dark,Clear,TRUE
5724,5725,9,90173,1,7,332,2,12,2015,4,22,34,41.32493889,-72.59294722,2,99,1,1,99,99,99,99,88,88,KILLINGWORTH,Connecticut,Dark,Unknown,TRUE
5725,5726,9,90174,1,9,370,17,11,2015,3,18,0,41.53383889,-72.79358611,3,1,0,1,18,2,18,6,18,40,MERIDEN,Connecticut,Dark,Clear,FALSE
5726,5727,9,90175,3,3,280,4,12,2015,6,22,46,41.77093611,-72.67721111,3,1,0,1,22,47,22,54,23,7,HARTFORD,Connecticut,Dark,Clear,FALSE
5727,5728,9,90176,1,3,660,3,10,2015,7,22,11,41.86975,-72.82586389,3,1,1,1,22,14,22,15,23,1,SIMSBURY,Connecticut,Dark,Clear,TRUE
5728,5729,9,90177,1,11,140,9,12,2015,4,23,43,41.59124722,-72.41283333,2,1,1,1,23,43,23,52,88,88,COLCHESTER,Connecticut,Dark,Clear,TRUE
5729,5730,9,90178,1,3,838,7,12,2015,2,19,15,41.72385556,-72.66771944,3,1,0,1,99,99,99,99,99,99,WETHERSFIELD,Connecticut,Dark,Clear,FALSE
5730,5731,9,90179,2,7,220,13,12,2015,1,15,38,41.53954722,-72.45788611,1,1,0,1,15,40,16,7,16,27,EAST HAMPTON,Connecticut,Daylight,Clear,FALSE
5731,5732,9,90180,1,9,790,20,12,2015,1,13,11,41.47535833,-72.77149444,1,1,1,1,99,99,99,99,88,88,WALLINGFORD,Connecticut,Daylight,Clear,TRUE
5732,5733,9,90181,2,3,280,25,12,2015,6,1,30,41.75360833,-72.70184722,3,2,1,1,1,36,1,40,2,14,HARTFORD,Connecticut,Dark,Rain,TRUE
5733,5734,9,90182,4,13,64,25,12,2015,6,14,25,41.78271389,-72.425825,1,1,0,1,14,23,14,41,99,99,BOLTON,Connecticut,Daylight,Clear,FALSE
5734,5735,9,90183,1,11,440,18,12,2015,6,2,7,41.37838056,-72.10360278,3,10,1,1,99,99,99,99,99,99,NEW LONDON,Connecticut,Dark,Unknown,TRUE
5735,5736,9,90184,2,9,430,6,3,2015,6,1,37,41.29255556,-72.92007222,3,1,1,1,1,37,99,99,99,99,NEW HAVEN,Connecticut,Dark,Clear,TRUE
5736,5737,9,90186,2,7,380,17,3,2015,3,10,38,41.57405278,-72.67193611,1,10,0,1,99,99,99,99,99,99,MIDDLETOWN,Connecticut,Daylight,Unknown,FALSE
5737,5738,9,90187,1,9,70,16,4,2015,5,8,54,41.26931389,-72.82133611,1,1,0,1,99,99,99,99,99,99,BRANFORD,Connecticut,Daylight,Clear,FALSE
5738,5739,9,90188,1,9,265,15,5,2015,6,0,20,41.29747222,-72.71299722,3,1,1,1,99,99,99,99,99,99,GUILFORD,Connecticut,Dark,Clear,TRUE
5739,5740,9,90189,1,9,222,27,6,2015,7,21,42,41.32069167,-72.86628333,3,2,0,1,99,99,99,99,99,99,EAST HAVEN,Connecticut,Dark,Rain,FALSE
5740,5741,9,90190,3,9,810,4,7,2015,7,0,57,41.57587778,-73.06976389,3,1,1,1,0,57,1,4,99,99,WATERBURY,Connecticut,Dark,Clear,TRUE
5741,5742,9,90191,2,11,219,19,7,2015,1,19,2,41.32523056,-72.25081944,1,1,1,1,19,5,19,13,19,43,EAST LYME,Connecticut,Daylight,Clear,TRUE
5742,5743,9,90192,1,5,450,14,8,2015,6,23,25,41.56376944,-73.41512222,2,1,0,1,23,28,23,35,99,98,NEW MILFORD,Connecticut,Dark,Clear,FALSE
5743,5744,9,90193,2,3,280,23,7,2015,5,17,28,41.74472778,-72.67311389,1,1,1,1,17,28,17,35,88,88,HARTFORD,Connecticut,Daylight,Clear,TRUE
5744,5745,9,90194,4,3,90,8,10,2015,5,8,26,41.66743889,-72.98524722,1,1,0,1,99,99,99,99,99,99,BRISTOL,Connecticut,Daylight,Clear,FALSE
5745,5746,9,90195,1,11,260,29,10,2015,5,22,13,41.35318611,-71.98375,3,1,1,1,99,99,99,99,88,88,GROTON,Connecticut,Dark,Clear,TRUE
5746,5747,9,90196,1,3,258,21,11,2015,7,17,38,42.02781111,-72.84396667,2,1,0,1,17,40,17,51,18,29,GRANBY,Connecticut,Dark,Clear,FALSE
5747,5748,9,90197,2,7,380,29,6,2015,2,9,55,41.53759722,-72.65451667,1,1,0,1,99,99,99,99,99,99,MIDDLETOWN,Connecticut,Daylight,Clear,FALSE
5748,5749,9,90198,5,3,258,12,4,2015,1,16,16,41.95580278,-72.83486944,1,1,0,1,99,99,99,99,99,99,GRANBY,Connecticut,Daylight,Clear,FALSE
5749,5750,9,90199,3,1,650,6,4,2015,2,1,44,41.30915,-73.09643056,2,2,0,1,99,99,99,99,99,99,SHELTON,Connecticut,Dark,Rain,FALSE
5750,5751,9,90200,2,11,539,2,5,2015,7,15,49,41.33850278,-72.30928611,1,1,0,1,99,99,99,99,99,99,OLD LYME,Connecticut,Daylight,Clear,FALSE
5751,5752,9,90201,2,3,680,4,5,2015,2,7,45,41.55400278,-72.85285833,1,1,1,1,99,99,99,99,99,99,SOUTHINGTON,Connecticut,Daylight,Clear,TRUE
5752,5753,9,90202,4,1,235,5,5,2015,3,3,7,41.15089167,-73.24786389,3,1,0,1,99,99,99,99,99,99,FAIRFIELD,Connecticut,Dark,Clear,FALSE
5753,5754,9,90203,1,3,435,15,9,2015,3,6,3,41.67618611,-72.72927778,3,1,0,1,6,6,6,15,88,88,NEWINGTON,Connecticut,Dark,Clear,FALSE
5754,5755,9,90205,1,15,99,8,5,2015,6,11,13,41.79275,-71.94166667,1,1,0,1,99,99,99,99,88,88,BROOKLYN,Connecticut,Daylight,Clear,FALSE
5755,5756,9,90206,5,7,332,17,5,2015,1,16,25,41.39104722,-72.56260833,1,1,1,1,99,99,99,99,99,99,KILLINGWORTH,Connecticut,Daylight,Clear,TRUE
5756,5757,9,90207,1,3,420,22,5,2015,6,23,31,41.68002222,-72.76442778,3,1,0,1,99,99,99,99,88,88,NEW BRITAIN,Connecticut,Dark,Clear,FALSE
5757,5758,9,90208,2,9,265,27,5,2015,4,5,43,41.29484444,-72.68176944,1,1,0,1,99,99,99,99,99,99,GUILFORD,Connecticut,Daylight,Clear,FALSE
5758,5759,9,90209,1,13,156,31,5,2015,1,21,32,41.72363333,-72.26327222,3,2,0,1,99,99,99,99,88,88,COVENTRY,Connecticut,Dark,Rain,FALSE
5759,5760,9,90210,1,11,440,13,6,2015,7,19,42,41.36131667,-72.11606944,1,1,0,1,99,99,99,99,99,99,NEW LONDON,Connecticut,Daylight,Clear,FALSE
5760,5761,9,90211,1,5,286,14,6,2015,1,22,8,41.78421389,-73.104275,2,2,1,1,99,99,99,99,88,88,HARWINTON,Connecticut,Dark,Rain,TRUE
5761,5762,9,90212,1,1,98,14,6,2015,1,18,51,41.44291944,-73.37321667,1,1,1,1,99,99,99,99,88,88,BROOKFIELD,Connecticut,Daylight,Clear,TRUE
5762,5763,9,90213,2,9,790,9,10,2015,6,1,16,41.48100833,-72.76986944,3,1,0,1,99,99,99,99,99,99,WALLINGFORD,Connecticut,Dark,Clear,FALSE
5763,5764,9,90214,1,9,854,30,10,2015,6,8,50,41.31953056,-73.00124167,1,1,0,1,99,99,99,99,88,88,WOODBRIDGE,Connecticut,Daylight,Clear,FALSE
5764,5765,9,90215,4,9,790,8,11,2015,1,5,29,41.47555833,-72.77142778,2,1,1,1,5,35,99,99,99,99,WALLINGFORD,Connecticut,Dark,Clear,TRUE
5765,5766,9,90216,1,9,49,25,12,2015,6,20,30,41.41397222,-72.97367222,2,1,1,1,20,25,20,37,88,88,BETHANY,Connecticut,Dark,Clear,TRUE
5766,5767,9,90217,1,13,7,4,6,2015,5,13,24,41.74783333,-72.39230833,1,1,1,1,99,99,99,99,99,99,ANDOVER,Connecticut,Daylight,Clear,TRUE
5767,5768,9,90218,1,7,190,23,5,2015,7,2,46,41.36883889,-72.43357778,2,1,1,1,99,99,99,99,99,99,DEEP RIVER,Connecticut,Dark,Clear,TRUE
5768,5769,9,90219,5,3,369,26,5,2015,3,16,56,41.63744444,-72.45408611,1,1,0,1,16,58,17,3,17,6,MARLBOROUGH,Connecticut,Daylight,Clear,FALSE
5769,5770,9,90220,1,5,492,3,6,2015,4,0,46,42.024125,-73.2604,2,1,1,1,99,99,99,99,88,88,NORTH CANAAN,Connecticut,Dark,Clear,TRUE
5770,5771,9,90221,2,7,217,27,6,2015,7,15,59,41.50681389,-72.41164167,1,10,0,1,99,99,99,99,99,99,EAST HADDAM,Connecticut,Daylight,Unknown,FALSE
5771,5772,9,90222,1,9,200,20,6,2015,7,2,30,41.33491944,-73.09230833,2,1,1,1,99,99,99,99,88,88,DERBY,Connecticut,Dark,Clear,TRUE
5772,5773,9,90223,1,7,266,28,8,2015,6,6,18,41.45917222,-72.53116944,2,1,0,1,6,18,6,21,88,88,HADDAM,Connecticut,Dark,Clear,FALSE
5773,5774,9,90224,1,13,293,20,6,2015,7,12,59,41.63705278,-72.34575278,1,10,1,1,6,18,6,21,88,88,HEBRON,Connecticut,Daylight,Unknown,TRUE
5774,5775,9,90225,1,15,590,2,7,2015,5,16,56,41.89306944,-71.87820556,1,1,0,1,99,99,99,99,99,99,PUTNAM,Connecticut,Daylight,Clear,FALSE
5775,5776,9,90226,2,1,235,5,5,2015,3,4,57,41.17976389,-73.246,3,1,0,1,99,99,99,99,99,99,FAIRFIELD,Connecticut,Dark,Clear,FALSE
5776,5777,9,90227,15,11,539,15,8,2015,7,5,38,41.32245556,-72.33378056,4,1,0,2,99,99,99,99,99,99,OLD LYME,Connecticut,Dawn,Clear,FALSE
5777,5778,9,90228,2,5,817,22,8,2015,7,22,30,41.61666667,-73.06224167,2,1,1,1,99,99,99,99,99,99,WATERTOWN,Connecticut,Dark,Clear,TRUE
5778,5779,9,90229,1,1,170,2,7,2015,5,21,24,41.38611111,-73.48649722,3,1,0,1,21,24,21,30,99,99,DANBURY,Connecticut,Dark,Clear,FALSE
5779,5780,9,90230,2,9,810,11,10,2015,1,4,0,41.56423333,-73.05445556,3,1,1,1,99,99,99,99,99,99,WATERBURY,Connecticut,Dark,Clear,TRUE
5780,5781,9,90231,1,3,838,9,5,2015,7,20,13,41.69034167,-72.65585278,3,1,0,1,99,99,99,99,99,99,WETHERSFIELD,Connecticut,Dark,Clear,FALSE
5781,5782,9,90232,7,3,89,3,12,2015,5,13,27,41.77755,-72.91879722,1,1,0,1,99,99,99,99,99,99,BURLINGTON,Connecticut,Daylight,Clear,FALSE
5782,5783,9,90233,2,5,236,9,9,2015,4,19,13,41.96372222,-73.33440833,5,1,0,1,99,99,99,99,99,99,FALLS VILLAGE,Connecticut,Dusk,Clear,FALSE
5783,5784,9,90234,1,15,749,17,10,2015,7,17,6,42.00980278,-71.83763611,1,1,0,1,99,99,99,99,99,99,THOMPSON,Connecticut,Daylight,Clear,FALSE
5784,5785,9,90235,2,9,669,4,11,2015,4,10,50,41.471075,-73.21784444,1,1,0,1,99,99,99,99,88,88,SOUTHBURY,Connecticut,Daylight,Clear,FALSE
5785,5786,9,90237,1,5,801,19,11,2015,5,17,10,41.73729167,-73.33876111,2,2,1,1,99,99,99,99,99,99,WARREN,Connecticut,Dark,Rain,TRUE
5786,5787,9,90238,2,9,810,15,10,2015,5,12,11,41.56410278,-73.04323889,1,1,0,1,12,17,12,19,12,34,WATERBURY,Connecticut,Daylight,Clear,FALSE
5787,5788,9,90239,1,9,810,28,9,2015,2,20,40,41.58386944,-73.03563889,2,1,0,1,20,40,20,40,99,99,WATERBURY,Connecticut,Dark,Clear,FALSE
5788,5789,9,90240,4,3,280,21,11,2015,7,2,8,41.7948,-72.67682222,3,1,1,1,99,99,99,99,99,99,HARTFORD,Connecticut,Dark,Clear,TRUE
5789,5790,9,90241,6,7,536,24,12,2015,5,10,33,41.31239444,-72.36414722,1,1,0,1,99,99,99,99,99,99,OLD SAYBROOK,Connecticut,Daylight,Clear,FALSE
5790,5791,9,90242,2,1,170,24,11,2015,3,19,7,41.44716389,-73.47280278,3,1,1,1,99,99,99,99,99,99,DANBURY,Connecticut,Dark,Clear,TRUE
5791,5792,9,90243,1,3,225,21,11,2015,7,2,9,41.76611667,-72.65902778,3,1,1,1,99,99,99,99,99,99,EAST HARTFORD,Connecticut,Dark,Clear,TRUE
5792,5793,9,90244,6,3,90,13,12,2015,1,0,35,41.65488056,-72.91296389,3,1,1,2,0,38,0,42,0,58,BRISTOL,Connecticut,Dark,Clear,TRUE
5793,5794,9,90245,1,5,740,6,12,2015,1,17,32,41.68574722,-73.06886111,2,1,1,1,99,99,99,99,88,88,THOMASTON,Connecticut,Dark,Clear,TRUE
5794,5795,9,90246,2,15,843,22,11,2015,1,1,21,41.74660278,-72.16645,3,1,1,1,99,99,99,99,99,99,WINDHAM,Connecticut,Dark,Clear,TRUE
5795,5796,9,90247,1,1,655,24,11,2015,3,11,12,41.5867,-73.47953611,1,1,0,1,99,99,99,99,99,99,SHERMAN,Connecticut,Daylight,Clear,FALSE
5796,5797,9,90248,1,15,550,4,12,2015,6,14,38,41.72575833,-71.89100278,1,1,0,1,99,99,99,99,99,99,PLAINFIELD,Connecticut,Daylight,Clear,FALSE
5797,5798,9,90249,3,11,584,3,7,2015,6,1,21,41.4927,-72.017975,2,99,0,1,99,99,99,99,88,88,PRESTON,Connecticut,Dark,Unknown,FALSE
5798,5799,9,90250,2,11,219,1,9,2015,3,14,37,41.34117778,-72.20790278,1,1,0,1,99,99,99,99,99,99,EAST LYME,Connecticut,Daylight,Clear,FALSE
5799,5800,9,90251,2,3,718,13,3,2015,6,23,18,41.97619167,-72.61381667,3,1,0,1,23,20,23,22,23,55,SUFFIELD,Connecticut,Dark,Clear,FALSE
5800,5801,9,90252,2,9,430,19,7,2015,1,3,6,41.32283889,-72.95428611,3,1,1,1,3,11,3,16,3,30,NEW HAVEN,Connecticut,Dark,Clear,TRUE
5801,5802,9,90253,4,1,715,10,10,2015,7,18,0,41.17608333,-73.15113611,1,1,2,2,18,4,18,28,18,31,STRATFORD,Connecticut,Daylight,Clear,TRUE
5802,5803,9,90254,2,9,790,25,7,2015,7,6,21,41.42929167,-72.81226389,1,1,0,1,99,99,99,99,99,99,WALLINGFORD,Connecticut,Daylight,Clear,FALSE
5803,5804,9,90255,2,5,450,14,11,2015,7,10,40,41.6459,-73.38506944,1,1,0,1,10,52,11,2,11,40,NEW MILFORD,Connecticut,Daylight,Clear,FALSE
5804,5805,9,90256,1,1,80,6,2,2015,6,1,21,41.17740278,-73.17986111,3,1,0,1,1,10,1,14,1,33,BRIDGEPORT,Connecticut,Dark,Clear,FALSE
5805,5806,9,90257,2,9,810,3,5,2015,1,6,3,41.539025,-72.974625,1,1,1,2,6,3,6,3,88,88,WATERBURY,Connecticut,Daylight,Clear,TRUE
5806,5807,9,90258,7,9,810,1,7,2015,4,2,3,41.5569,-73.01341111,3,1,0,2,2,3,2,7,99,99,WATERBURY,Connecticut,Dark,Clear,FALSE
5807,5808,9,90259,1,9,810,8,9,2015,3,5,15,41.58523889,-73.04238333,3,1,0,1,5,15,5,16,99,99,WATERBURY,Connecticut,Dark,Clear,FALSE
5808,5809,9,90260,1,9,10,20,8,2015,5,16,55,41.33661111,-73.04823889,1,1,0,1,99,99,99,99,99,99,ANSONIA,Connecticut,Daylight,Clear,FALSE
5814,5815,10,100006,5,3,490,31,1,2015,7,21,11,39.75283056,-75.55363889,2,1,0,1,21,12,21,24,88,88,WILMINGTON,Delaware,Dark,Clear,FALSE
5825,5826,10,100017,3,3,360,16,4,2015,5,2,19,39.64641111,-75.75961111,2,1,1,1,2,19,2,30,2,55,NEWARK,Delaware,Dark,Clear,TRUE
5834,5835,10,100026,2,5,200,16,6,2015,3,14,27,38.69768056,-75.39483056,1,1,0,1,14,58,15,1,15,33,GEORGETOWN,Delaware,Daylight,Clear,FALSE
5837,5838,10,100029,1,1,130,1,1,2015,5,4,14,39.16303889,-75.55795,3,1,0,1,99,99,99,99,99,99,DOVER,Delaware,Dark,Clear,FALSE
5838,5839,10,100030,2,1,130,6,2,2015,6,5,24,39.15683056,-75.49783889,3,10,0,1,99,99,99,99,99,99,DOVER,Delaware,Dark,Unknown,FALSE
5839,5840,10,100031,1,3,360,8,3,2015,1,1,33,39.68218889,-75.74518889,3,1,1,1,99,99,99,99,99,99,NEWARK,Delaware,Dark,Clear,TRUE
5840,5841,10,100032,2,3,360,23,3,2015,2,1,18,39.65591111,-75.75148056,3,1,1,1,99,99,99,99,99,99,NEWARK,Delaware,Dark,Clear,TRUE
5848,5849,10,100040,1,5,200,6,7,2015,2,4,35,38.69588056,-75.39978889,3,10,0,1,4,36,4,41,5,6,GEORGETOWN,Delaware,Dark,Unknown,FALSE
5871,5872,10,100063,1,1,70,13,6,2015,7,18,41,39.05426111,-75.63936944,1,1,1,1,18,45,18,54,19,3,CAMDEN,Delaware,Daylight,Clear,TRUE
5873,5874,10,100065,1,1,130,16,3,2015,2,16,47,39.17391111,-75.52998056,1,1,0,1,99,98,99,98,99,98,DOVER,Delaware,Daylight,Clear,FALSE
5874,5875,10,100066,3,5,200,30,5,2015,7,11,27,38.72396111,-75.37761111,1,1,1,1,11,27,11,51,12,47,GEORGETOWN,Delaware,Daylight,Clear,TRUE
5875,5876,10,100067,2,3,490,14,11,2015,7,17,57,39.7138,-75.67555,2,1,0,1,17,59,18,5,18,19,WILMINGTON,Delaware,Dark,Clear,FALSE
5876,5877,10,100068,1,5,410,5,6,2015,6,20,51,38.72368889,-75.12375,2,1,0,1,20,54,20,55,21,12,REHOBOTH BEACH,Delaware,Dark,Clear,FALSE
5877,5878,10,100069,3,3,370,13,7,2015,2,15,25,39.69098056,-75.56636111,1,1,0,1,99,99,99,99,99,99,NEW CASTLE,Delaware,Daylight,Clear,FALSE
