S_No,State,ST_CASE,PERMVIT,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD,LGT_COND,WEATHER,DRUNK_DR,FATALS,Cname,Sname
1612,4,40792,4,13,370,28,11,2015,7,20,28,33.48049167,-112.1695806,6,99,0,1,PHOENIX,Arizona
1613,4,40793,3,13,370,28,11,2015,7,21,22,99.9999,999.9999,6,99,0,2,PHOENIX,Arizona
1617,4,40797,6,13,80,3,12,2015,5,18,7,33.20401111,-111.8410972,3,1,0,1,CHANDLER,Arizona
1618,4,40798,2,13,80,3,11,2015,3,7,2,33.29230278,-111.8939111,1,1,0,1,CHANDLER,Arizona
1619,4,40799,2,13,80,5,12,2015,7,18,19,33.30463333,-111.8387083,3,1,0,1,CHANDLER,Arizona
1620,4,40800,5,13,370,26,12,2015,7,2,6,33.495125,-112.1863667,3,1,1,3,PHOENIX,Arizona
1623,4,40803,2,13,200,5,12,2015,7,18,46,99.9999,999.9999,6,99,1,1,GLENDALE,Arizona
1624,4,40804,1,13,74,6,12,2015,1,3,30,99.9999,999.9999,6,99,0,1,CAVECREEK,Arizona
1626,4,40807,1,13,200,11,12,2015,6,22,30,99.9999,999.9999,6,99,0,1,GLENDALE,Arizona
1630,4,40811,2,19,530,17,12,2015,5,16,22,32.159925,-110.9133222,1,1,0,1,TUCSON,Arizona
1637,4,40818,3,13,370,8,12,2015,3,16,20,33.47691111,-112.0999861,1,99,0,1,PHOENIX,Arizona
1638,4,40819,1,5,170,9,12,2015,4,15,13,35.17925556,-111.6387306,1,1,0,1,FLAGSTAFF,Arizona
1640,4,40821,5,13,370,13,12,2015,1,6,57,33.47993611,-112.2271028,1,1,1,2,PHOENIX,Arizona
1641,4,40822,4,13,370,13,12,2015,1,18,50,33.57122222,-112.0890139,6,99,0,1,PHOENIX,Arizona
1642,4,40823,4,13,370,17,12,2015,5,16,54,33.34701944,-112.0845806,1,99,0,1,PHOENIX,Arizona
1643,4,40824,6,13,420,19,12,2015,7,1,7,33.65621944,-111.9151056,3,1,0,1,SCOTTSDALE,Arizona
1645,4,40826,2,27,9999,22,12,2015,3,99,99,99.9999,999.9999,9,99,0,1,UNKNOWN,Arizona
1647,4,40828,2,13,290,29,12,2015,3,7,39,33.38607222,-111.8040583,1,10,0,1,MESA,Arizona
1648,4,40829,3,13,370,30,12,2015,4,19,53,33.62575278,-112.0654,6,99,0,1,PHOENIX,Arizona
1649,4,40830,1,999,9999,25,7,2015,7,99,99,99.9999,999.9999,9,99,0,1,UNKNOWN,Arizona
1650,4,40831,5,13,420,26,12,2015,7,18,44,33.78596389,-111.9258,2,1,0,1,SCOTTSDALE,Arizona
1651,4,40832,2,13,370,30,12,2015,4,20,30,99.9999,999.9999,6,99,1,1,PHOENIX,Arizona
1654,5,50001,2,9,1750,1,1,2015,5,20,29,36.24038611,-93.10412222,2,1,0,1,HARRISON,Arkansas
1657,5,50004,3,51,3095,5,1,2015,2,4,50,34.43186111,-93.27805,2,1,1,1,PEARCY,Arkansas
1658,5,50005,2,5,1835,6,1,2015,3,13,45,36.38343333,-92.191425,1,1,0,1,HENDERSON,Arkansas
1660,5,50008,3,119,2320,10,1,2015,7,18,15,34.71792222,-92.34751111,2,1,0,1,LITTLE ROCK,Arkansas
1663,5,50011,2,7,3390,14,1,2015,4,19,37,36.28018889,-94.15411944,2,1,0,1,ROGERS,Arkansas
1665,5,50014,2,131,1370,17,1,2015,7,14,33,35.31117778,-94.42270556,1,1,0,1,FORT SMITH,Arkansas
1669,5,50018,1,119,2320,19,1,2015,2,18,49,34.74756389,-92.334225,2,1,0,1,LITTLE ROCK,Arkansas
1671,5,50020,1,89,4270,20,1,2015,3,17,51,36.22135556,-92.68028611,6,98,0,1,YELLVILLE,Arkansas
1679,5,50029,1,59,2500,29,1,2015,5,20,34,34.3562,-92.80305833,2,1,1,1,MALVERN,Arkansas
1680,5,50030,1,119,2320,28,1,2015,4,22,11,34.68864444,-92.30010833,2,1,0,1,LITTLE ROCK,Arkansas
1686,5,50036,1,143,1310,2,2,2015,2,1,19,36.11094167,-94.16946389,2,1,1,1,FAYETTEVILLE,Arkansas
1691,5,50041,1,143,3670,6,2,2015,6,19,35,36.18835,-94.129775,2,1,0,1,SPRINGDALE,Arkansas
1693,5,50043,1,89,585,8,2,2015,1,14,25,36.35904167,-92.60389167,1,1,0,1,BULL SHOALS,Arkansas
1694,5,50044,1,51,1907,9,2,2015,2,9,0,34.46645278,-92.99278333,1,99,0,1,HOT SPRINGS,Arkansas
1698,5,50048,1,71,2220,9,2,2015,2,22,39,35.44171111,-93.38756111,3,1,0,1,LAMAR,Arkansas
1702,5,50052,1,23,1820,11,2,2015,4,15,54,35.49481944,-92.01359722,1,1,0,1,HEBER SPRINGS,Arkansas
1703,5,50053,3,69,80,12,2,2015,5,5,22,34.33461111,-91.847575,2,1,0,1,ALTHEIMER,Arkansas
1709,5,50059,1,49,3500,17,2,2015,3,20,45,36.39036667,-91.87720278,2,4,0,1,SALEM,Arkansas
1710,5,50060,3,119,2320,18,2,2015,4,6,32,34.65585278,-92.41344722,1,1,0,1,LITTLE ROCK,Arkansas
1711,5,50061,2,59,2500,18,2,2015,4,21,33,34.3903,-92.74118333,2,1,0,1,MALVERN,Arkansas
1722,5,50072,1,131,1370,28,2,2015,7,17,50,35.40406111,-94.36625556,2,2,0,1,FORT SMITH,Arkansas
1723,5,50073,1,63,250,2,3,2015,2,17,21,35.75201111,-91.59111389,1,1,1,1,BATESVILLE,Arkansas
1726,5,50076,4,115,3230,4,3,2015,4,17,11,35.2545,-93.04613056,1,3,0,1,POTTSVILLE,Arkansas
1729,5,50079,2,119,2880,6,3,2015,6,20,11,34.78070278,-92.16832222,2,1,0,1,NORTH LITTLE ROCK,Arkansas
1735,5,50085,3,9,1750,13,3,2015,6,8,15,36.25573333,-93.123425,1,5,0,1,HARRISON,Arkansas
1736,5,50086,2,33,50,13,3,2015,6,8,24,35.48721944,-94.23475833,1,2,0,1,ALMA,Arkansas
1738,5,50088,1,119,2320,14,3,2015,7,5,10,34.67823889,-92.35961667,2,8,0,1,LITTLE ROCK,Arkansas
1740,5,50090,3,143,3670,16,3,2015,2,6,27,36.19328889,-94.1815,2,1,0,1,SPRINGDALE,Arkansas
1741,5,50091,3,7,340,17,3,2015,3,6,55,36.33575278,-94.22781389,2,1,0,1,BENTONVILLE,Arkansas
1749,5,50099,3,119,2320,23,3,2015,2,16,25,34.73499444,-92.34169167,1,1,0,1,LITTLE ROCK,Arkansas
1750,5,50100,5,115,3450,24,3,2015,3,20,20,35.35128056,-93.12573611,2,1,0,1,RUSSELLVILLE,Arkansas
1751,5,50101,3,119,2036,25,3,2015,4,12,34,34.90415556,-92.08649167,1,1,1,1,JACKSONVILLE,Arkansas
1753,5,50104,1,115,3230,26,3,2015,5,4,50,35.27263056,-93.07375833,2,2,0,1,POTTSVILLE,Arkansas
1760,5,50111,1,31,470,29,3,2015,1,1,40,35.92325,-90.81363333,2,1,0,1,BONO,Arkansas
1761,5,50112,4,113,4160,29,3,2015,1,16,15,34.30820556,-94.34266944,1,1,0,1,WICKES,Arkansas
1766,5,50117,1,119,2592,4,4,2015,7,17,38,34.88370833,-92.38529722,1,1,0,1,MAUMELLE,Arkansas
1769,5,50120,2,91,3810,7,4,2015,3,15,6,33.42843056,-94.04053056,1,1,0,1,TEXARKANA,Arkansas
1771,5,50122,1,7,315,9,4,2015,5,14,6,36.45768889,-94.36864167,1,1,1,1,BELLA VISTA,Arkansas
1772,5,50123,3,35,4120,9,4,2015,5,20,10,35.14668889,-90.22454722,3,1,0,1,WEST MEMPHIS,Arkansas
1775,5,50126,1,33,3930,11,4,2015,7,22,41,35.44462778,-94.32903889,2,1,0,1,VAN BUREN,Arkansas
1776,5,50127,1,29,3180,14,4,2015,3,11,20,35.15658056,-92.643025,1,1,0,1,PLUMERVILLE,Arkansas
1781,5,50132,5,17,1270,18,4,2015,7,11,37,33.12090278,-91.25518056,1,1,0,3,EUDORA,Arkansas
1783,5,50134,1,41,2420,21,4,2015,3,9,30,33.62913611,-91.42110278,1,1,0,1,MCGEHEE,Arkansas
1784,5,50135,3,45,3676,23,4,2015,5,9,45,35.19282778,-92.39163611,1,8,0,1,SPRINGHILL,Arkansas
1788,5,50139,2,145,3530,28,4,2015,3,10,45,35.21126389,-91.72401667,1,1,1,1,SEARCY,Arkansas
1789,5,50140,2,115,3450,29,4,2015,4,13,26,35.30561111,-93.164675,1,1,0,1,RUSSELLVILLE,Arkansas
1790,5,50141,1,51,3428,30,4,2015,5,0,10,34.51011667,-93.20062222,2,1,0,1,ROYAL,Arkansas
1791,5,50142,2,143,1310,30,4,2015,5,7,47,36.04799167,-94.21959167,1,1,0,1,FAYETTEVILLE,Arkansas
1792,5,50144,4,119,2320,30,4,2015,5,17,31,34.67948611,-92.26814444,1,1,0,1,LITTLE ROCK,Arkansas
1794,5,50146,1,19,130,1,5,2015,6,11,11,34.120325,-93.05634722,1,1,0,1,ARKADELPHIA,Arkansas
1796,5,50148,4,119,2320,2,5,2015,7,16,15,34.64182778,-92.30841111,1,1,1,1,LITTLE ROCK,Arkansas
1801,5,50153,3,33,3930,3,5,2015,1,21,1,35.45755278,-94.32791389,2,1,0,1,VAN BUREN,Arkansas
1804,5,50156,2,19,1670,6,5,2015,4,10,29,33.92638333,-93.15826389,1,1,0,1,GURDON,Arkansas
1809,5,50161,2,119,2320,18,5,2015,2,14,5,34.74045,-92.3168,1,1,0,1,LITTLE ROCK,Arkansas
1812,5,50164,3,51,1907,19,5,2015,3,14,33,34.46441111,-93.07348333,1,1,0,1,HOT SPRINGS,Arkansas
1816,5,50168,2,81,2920,20,5,2015,4,21,35,33.58160833,-94.02648611,2,1,0,1,OGDEN,Arkansas
1818,5,50170,3,119,3570,23,5,2015,7,21,24,34.82961944,-92.18398611,2,1,1,1,SHERWOOD,Arkansas
1820,5,50173,3,31,2070,25,5,2015,2,20,20,35.78466389,-90.71413611,3,1,0,1,JONESBORO,Arkansas
1821,5,50174,2,35,2550,26,5,2015,3,15,54,35.20460278,-90.20400556,1,1,0,1,MARION,Arkansas
1823,5,50176,1,143,1310,29,5,2015,6,17,9,36.11773889,-94.14535,1,2,1,1,FAYETTEVILLE,Arkansas
1825,5,50178,1,51,1912,30,5,2015,7,21,50,34.465475,-93.06179444,2,1,1,1,HOT SPGS NATL PARK,Arkansas
1826,5,50179,1,45,860,31,5,2015,1,0,20,35.03010833,-92.44713611,2,1,1,1,CONWAY,Arkansas
1827,5,50180,1,119,2320,31,5,2015,1,4,20,34.70342222,-92.344675,2,2,0,1,LITTLE ROCK,Arkansas
1828,5,50181,1,111,3900,31,5,2015,1,7,12,35.47278889,-90.33313611,2,2,1,1,TYRONZA,Arkansas
1830,5,50183,1,31,2070,4,6,2015,5,21,6,35.79816111,-90.69110833,2,1,1,1,JONESBORO,Arkansas
1831,5,50184,1,7,340,5,6,2015,6,0,18,36.415625,-94.22171667,2,1,1,1,BENTONVILLE,Arkansas
1833,5,50186,3,15,1280,6,6,2015,7,16,11,36.38883611,-93.71166111,1,1,0,1,EUREKA SPRINGS,Arkansas
1835,5,50188,4,29,3180,8,6,2015,2,4,20,35.16293889,-92.63596667,2,1,0,1,PLUMERVILLE,Arkansas
1840,5,50193,4,35,4120,11,6,2015,5,11,35,35.14617222,-90.12465,1,1,0,2,WEST MEMPHIS,Arkansas
1842,5,50195,1,143,1310,11,6,2015,5,22,16,36.09156389,-94.16158611,3,1,1,1,FAYETTEVILLE,Arkansas
1843,5,50196,2,85,600,12,6,2015,6,2,40,34.94716111,-92.0659,2,1,0,1,CABOT,Arkansas
1844,5,50197,2,35,3890,12,6,2015,6,16,18,35.36880278,-90.27978889,1,1,0,1,TURRELL,Arkansas
1848,5,50201,2,85,2140,13,6,2015,7,17,23,34.61148333,-92.01759444,1,1,0,1,KEO,Arkansas
1849,5,50202,2,45,860,14,6,2015,1,5,50,35.119825,-92.47025556,1,1,0,1,CONWAY,Arkansas
1857,5,50210,1,33,2770,17,6,2015,4,11,49,35.51028611,-94.07308889,1,1,0,1,MULBERRY,Arkansas
1862,5,50215,1,119,2320,25,6,2015,5,4,10,34.72895556,-92.33502222,3,1,0,1,LITTLE ROCK,Arkansas
1863,5,50216,3,5,2730,25,6,2015,5,9,6,36.31745278,-92.36773611,1,1,0,1,MOUNTAIN HOME,Arkansas
1864,5,50217,2,67,2820,25,6,2015,5,10,10,35.60119722,-91.28779444,1,1,0,1,NEWPORT,Arkansas
1868,5,50221,1,145,3530,28,6,2015,1,18,3,35.21734722,-91.72132778,1,1,0,1,SEARCY,Arkansas
1870,5,50223,1,131,1370,29,6,2015,2,22,19,35.31423889,-94.42270556,2,1,1,1,FORT SMITH,Arkansas
1871,5,50224,2,125,330,1,7,2015,4,17,27,34.58618056,-92.56987222,1,1,0,1,BENTON,Arkansas
1873,5,50226,6,119,2320,3,7,2015,6,13,30,34.72724167,-92.26436667,1,1,0,1,LITTLE ROCK,Arkansas
1878,5,50231,1,125,330,6,7,2015,2,8,35,34.55751944,-92.58078333,1,1,0,1,BENTON,Arkansas
1883,5,50236,6,35,910,11,7,2015,7,12,50,35.23385556,-90.32625556,1,1,0,3,CRAWFORDSVILLE,Arkansas
1884,5,50237,3,131,235,11,7,2015,7,17,40,35.32895278,-94.31446944,1,1,0,1,BARLING,Arkansas
1886,5,50239,2,63,3170,11,7,2015,7,22,50,35.53756667,-91.61907778,2,1,0,1,PLEASANT PLAINS,Arkansas
1888,5,50242,3,31,560,14,7,2015,3,18,5,35.90736111,-90.57723056,1,8,0,1,BROOKLAND,Arkansas
1893,5,50247,2,75,4010,17,7,2015,6,6,44,35.972575,-90.94195278,1,1,0,1,WALNUT RIDGE,Arkansas
1894,5,50248,1,35,4120,17,7,2015,6,23,48,35.165275,-90.17566944,2,1,0,1,WEST MEMPHIS,Arkansas
1896,5,50250,2,119,2320,17,7,2015,6,22,8,34.73311111,-92.26296389,2,1,0,1,LITTLE ROCK,Arkansas
1897,5,50251,6,105,3120,18,7,2015,7,16,24,34.95548333,-92.80033889,1,1,1,1,PERRYVILLE,Arkansas
1900,5,50254,2,101,2040,20,7,2015,2,14,5,36.00323056,-93.18518611,1,1,0,1,JASPER,Arkansas
1902,5,50256,1,119,2880,22,7,2015,4,9,50,34.77810556,-92.20274167,1,1,0,1,NORTH LITTLE ROCK,Arkansas
1903,5,50257,3,31,400,23,7,2015,5,2,49,35.83990278,-90.37056389,2,2,0,2,BLACK OAK,Arkansas
1904,5,50258,2,143,3670,23,7,2015,5,11,37,36.13353889,-94.14566111,1,1,0,1,SPRINGDALE,Arkansas
1905,5,50259,2,67,2820,24,7,2015,6,13,27,35.60800833,-91.25875833,1,1,0,1,NEWPORT,Arkansas
1907,5,50261,4,89,4270,26,7,2015,1,15,23,36.20502222,-92.67443056,1,1,0,1,YELLVILLE,Arkansas
1908,5,50262,1,129,2280,26,7,2015,1,23,59,35.85761944,-92.43911944,2,1,1,1,LESLIE,Arkansas
1909,5,50263,2,9,2960,27,7,2015,2,19,25,36.48721944,-93.22002778,1,1,1,2,OMAHA,Arkansas
1911,5,50265,2,115,190,31,7,2015,6,17,31,35.24498333,-92.99241389,1,1,0,1,ATKINS,Arkansas
1918,5,50273,6,69,3150,5,8,2015,4,2,4,34.1968,-91.97453056,2,1,1,3,PINE BLUFF,Arkansas
1924,5,50279,2,113,2630,7,8,2015,6,16,45,34.62954167,-94.20415278,1,1,0,1,MENA,Arkansas
1925,5,50280,3,15,1280,9,8,2015,1,0,51,36.44541667,-93.74361944,2,1,2,1,EUREKA SPRINGS,Arkansas
1926,5,50282,2,31,400,9,8,2015,1,17,36,35.83940556,-90.35906389,1,1,0,1,BLACK OAK,Arkansas
1927,5,50283,3,57,1890,12,8,2015,4,10,35,33.52321389,-93.95266667,1,1,0,1,HOPE,Arkansas
1928,5,50284,1,123,4170,13,8,2015,5,0,26,35.02371944,-90.68495,3,1,1,1,WIDENER,Arkansas
1933,5,50289,2,97,2760,14,8,2015,6,16,35,34.54145,-93.44871667,1,1,0,1,MOUNT IDA,Arkansas
1934,5,50290,7,9,1750,16,8,2015,1,11,4,36.23156944,-93.0945,1,1,0,2,HARRISON,Arkansas
1936,5,50292,1,21,3130,16,8,2015,1,15,8,36.37648056,-90.19366111,1,1,0,1,PIGGOTT,Arkansas
1940,5,50296,3,85,600,17,8,2015,2,23,28,34.95475,-92.04744722,2,1,0,1,CABOT,Arkansas
1947,5,50303,1,51,1912,19,8,2015,4,22,26,34.44879167,-93.08486667,2,1,1,1,HOT SPGS NATL PARK,Arkansas
1948,5,50304,1,113,2630,20,8,2015,5,14,50,34.63050278,-94.24636111,1,1,0,1,MENA,Arkansas
1950,5,50306,1,5,2730,21,8,2015,6,22,45,36.36899444,-92.32295833,2,1,0,1,MOUNTAIN HOME,Arkansas
1953,5,50309,2,67,1105,23,8,2015,1,0,3,35.64940556,-91.25477778,2,1,1,1,DIAZ,Arkansas
1956,5,50312,1,5,2730,26,8,2015,4,1,31,36.36089444,-92.41321389,2,1,1,1,MOUNTAIN HOME,Arkansas
1957,5,50313,1,75,4010,26,8,2015,4,13,42,36.06109444,-90.96318056,1,1,0,1,WALNUT RIDGE,Arkansas
1961,5,50317,2,51,1912,29,8,2015,7,1,28,34.47126944,-93.09878611,2,1,1,1,HOT SPGS NATL PARK,Arkansas
1962,5,50318,1,53,3550,29,8,2015,7,6,20,34.31563333,-92.27645,2,1,1,1,SHERIDAN,Arkansas
1963,5,50319,8,7,3390,29,8,2015,7,21,1,36.28311389,-94.12971667,2,1,1,1,ROGERS,Arkansas
1964,5,50320,1,51,1912,30,8,2015,1,13,7,34.51084444,-93.04095,1,1,1,1,HOT SPGS NATL PARK,Arkansas
1966,5,50322,4,83,480,1,9,2015,3,16,50,35.13841111,-93.92716944,1,1,0,1,BOONEVILLE,Arkansas
1967,5,50323,1,103,630,2,9,2015,4,7,20,33.54013333,-92.85047778,1,1,0,1,CAMDEN,Arkansas
1968,5,50324,2,7,340,2,9,2015,4,14,22,36.33545833,-94.20746389,1,1,0,1,BENTONVILLE,Arkansas
1972,5,50328,5,143,3670,6,9,2015,1,4,49,36.18471944,-94.12241944,6,1,1,2,SPRINGDALE,Arkansas
1977,5,50334,1,57,1890,9,9,2015,4,7,15,33.68428056,-93.57627778,1,10,0,1,HOPE,Arkansas
1984,5,50341,4,119,2320,15,9,2015,3,18,49,34.65968333,-92.36295,1,1,0,1,LITTLE ROCK,Arkansas
1985,5,50342,5,119,2880,16,9,2015,4,7,14,34.81639722,-92.32895556,1,1,0,1,NORTH LITTLE ROCK,Arkansas
1993,5,50350,1,79,3700,23,9,2015,4,20,35,33.93646944,-91.84073056,2,1,0,1,STAR CITY,Arkansas
1997,5,50354,1,143,3670,26,9,2015,7,0,24,36.167275,-94.13993889,2,1,0,1,SPRINGDALE,Arkansas
2000,5,50357,3,45,860,28,9,2015,2,5,55,35.12603333,-92.400975,2,1,0,2,CONWAY,Arkansas
2001,5,50358,4,5,1470,15,6,2015,2,8,1,36.28330833,-92.49505833,1,1,0,1,GASSVILLE,Arkansas
2002,5,50359,2,21,870,2,7,2015,5,9,43,36.49098056,-90.54008056,1,1,0,1,CORNING,Arkansas
2006,5,50363,2,115,3450,5,10,2015,2,4,39,35.27843333,-93.12046667,2,1,0,1,RUSSELLVILLE,Arkansas
2007,5,50364,1,143,3670,6,10,2015,3,11,56,36.17037222,-94.139075,1,1,0,1,SPRINGDALE,Arkansas
2009,5,50366,1,119,2036,6,10,2015,3,16,19,34.85516389,-92.13623889,1,1,0,1,JACKSONVILLE,Arkansas
2010,5,50367,2,123,1360,7,10,2015,4,8,40,35.00962778,-90.74845278,1,10,0,1,FORREST CITY,Arkansas
2012,5,50369,1,57,1890,8,10,2015,5,19,6,33.66806111,-93.57255556,5,1,1,1,HOPE,Arkansas
2013,5,50370,4,5,2730,8,10,2015,5,23,12,36.30593333,-92.36241667,2,1,0,1,MOUNTAIN HOME,Arkansas
2014,5,50371,1,143,1310,9,10,2015,6,10,30,36.11066111,-94.16938333,1,2,0,1,FAYETTEVILLE,Arkansas
2016,5,50373,1,119,2320,9,10,2015,6,19,50,34.68430833,-92.30920556,2,1,0,1,LITTLE ROCK,Arkansas
2020,5,50377,3,7,315,13,10,2015,3,17,23,36.46049444,-94.24474444,1,1,0,2,BELLA VISTA,Arkansas
2022,5,50379,1,15,350,15,10,2015,5,20,39,36.36045833,-93.56408333,2,2,0,1,BERRYVILLE,Arkansas
2028,5,50385,1,31,2070,20,10,2015,3,6,53,35.81070833,-90.72340833,4,1,0,1,JONESBORO,Arkansas
2032,5,50389,2,31,2070,22,10,2015,5,16,45,35.80684167,-90.64228611,1,1,0,1,JONESBORO,Arkansas
2036,5,50393,1,67,1105,25,10,2015,1,23,38,35.62393611,-91.26473611,2,10,1,1,DIAZ,Arkansas
2038,5,50395,1,119,2320,26,10,2015,2,11,45,34.66863611,-92.33329167,1,2,0,1,LITTLE ROCK,Arkansas
2039,5,50396,1,31,2070,26,10,2015,2,16,45,35.80704722,-90.59848611,1,2,0,1,JONESBORO,Arkansas
2042,5,50399,2,111,3860,28,10,2015,4,6,8,35.68262222,-90.52685833,2,8,0,1,TRUMANN,Arkansas
2046,5,50403,1,119,2320,30,10,2015,6,1,8,34.67890278,-92.32553889,2,1,0,1,LITTLE ROCK,Arkansas
2050,5,50407,1,115,3450,3,11,2015,3,8,55,35.29617778,-93.11976944,1,10,0,1,RUSSELLVILLE,Arkansas
2051,5,50408,1,33,1160,3,11,2015,3,9,42,35.494975,-94.14325,1,10,0,1,DYER,Arkansas
2053,5,50410,1,3,1390,4,11,2015,4,18,29,33.35344444,-91.84665,2,1,0,1,FOUNTAIN HILL,Arkansas
2055,5,50412,14,119,2880,6,11,2015,6,0,55,34.77772778,-92.24190556,2,2,0,6,NORTH LITTLE ROCK,Arkansas
2056,5,50413,1,119,3570,6,11,2015,6,1,58,34.80113056,-92.21360833,3,2,0,1,SHERWOOD,Arkansas
2058,5,50415,1,35,4120,6,11,2015,6,20,0,35.15878889,-90.15914722,3,1,0,1,WEST MEMPHIS,Arkansas
2059,5,50416,1,27,2490,7,11,2015,7,0,1,33.24037778,-93.195175,2,2,1,1,MAGNOLIA,Arkansas
2061,5,50418,2,75,4010,10,11,2015,3,17,27,36.07008611,-90.92967222,5,1,1,1,WALNUT RIDGE,Arkansas
2066,5,50423,1,51,1912,13,11,2015,6,6,18,34.49244722,-93.11311944,1,1,0,1,HOT SPGS NATL PARK,Arkansas
2067,5,50424,1,47,520,13,11,2015,6,8,0,35.31328333,-93.94160278,1,1,0,1,BRANCH,Arkansas
2069,5,50426,1,55,3030,13,11,2015,6,23,50,36.03318889,-90.54851667,6,1,0,1,PARAGOULD,Arkansas
2072,5,50429,1,131,1370,16,11,2015,2,17,56,35.37438333,-94.42126389,3,2,0,1,FORT SMITH,Arkansas
2073,5,50430,5,139,1210,16,11,2015,2,20,19,33.20729722,-92.65505556,6,2,0,1,EL DORADO,Arkansas
2074,5,50431,4,125,330,17,11,2015,3,7,36,34.55594444,-92.54886111,1,2,1,1,BENTON,Arkansas
2075,5,50432,1,69,2045,17,11,2015,3,21,40,34.36334444,-92.18144444,6,1,1,1,JEFFERSON,Arkansas
2077,5,50434,2,55,3030,19,11,2015,5,17,32,36.05633333,-90.51141667,3,1,0,1,PARAGOULD,Arkansas
2078,5,50435,2,7,315,20,11,2015,6,21,29,36.466125,-94.22846944,6,1,0,2,BELLA VISTA,Arkansas
2079,5,50436,3,119,2320,21,11,2015,7,9,50,34.74536944,-92.34350833,1,1,0,1,LITTLE ROCK,Arkansas
2082,5,50439,2,119,2320,22,11,2015,1,2,11,34.74413056,-92.29670833,3,1,1,2,LITTLE ROCK,Arkansas
2083,5,50440,2,31,2070,23,11,2015,2,17,20,35.85491667,-90.76068333,3,1,0,1,JONESBORO,Arkansas
2084,5,50441,1,5,2209,23,11,2015,2,20,3,36.37648333,-92.53405556,2,1,0,1,LAKEVIEW,Arkansas
2086,5,50443,4,31,2070,25,11,2015,4,9,53,35.86427778,-90.63250833,1,1,0,1,JONESBORO,Arkansas
2087,5,50444,2,69,3150,25,11,2015,4,1,48,34.24138611,-92.06973333,3,1,1,1,PINE BLUFF,Arkansas
2095,5,50452,1,119,2320,1,12,2015,3,6,15,34.67008056,-92.37603333,6,1,0,1,LITTLE ROCK,Arkansas
2096,5,50453,1,55,3030,1,12,2015,3,18,49,36.05258611,-90.430075,2,1,0,1,PARAGOULD,Arkansas
2103,5,50460,1,55,3030,7,12,2015,2,4,23,36.04901944,-90.517,3,1,0,1,PARAGOULD,Arkansas
2104,5,50461,1,119,3570,8,12,2015,3,23,21,34.81816667,-92.2114,2,1,0,1,SHERWOOD,Arkansas
2107,5,50464,1,35,2550,11,12,2015,6,17,37,35.22762222,-90.21210556,2,1,0,1,MARION,Arkansas
2110,5,50467,4,99,3260,13,12,2015,1,15,21,33.80730278,-93.38986111,1,2,0,1,PRESCOTT,Arkansas
2115,5,50472,1,59,3412,18,12,2015,6,8,45,34.407275,-92.81189167,1,1,0,1,ROCKPORT,Arkansas
2119,5,50476,1,45,2600,26,12,2015,7,5,40,34.99233333,-92.41498056,2,2,1,1,MAYFLOWER,Arkansas
2120,5,50477,2,119,2320,26,12,2015,7,18,35,34.66601389,-92.39157778,2,10,0,1,LITTLE ROCK,Arkansas
2128,6,60003,1,59,2400,1,1,2015,5,2,56,33.58306944,-117.8489917,3,1,0,1,NEWPORT BEACH,California
2130,6,60005,1,71,2960,2,1,2015,6,1,29,34.06584444,-117.20155,2,1,0,1,REDLANDS,California
2132,6,60007,3,65,1846,2,1,2015,6,14,25,33.70403889,-116.2947722,1,1,0,1,LA QUINTA,California
2134,6,60009,2,73,3260,3,1,2015,7,0,25,32.742625,-117.2546889,3,1,1,1,SAN DIEGO,California
2135,6,60010,1,37,1980,4,1,2015,1,2,35,33.98913611,-118.3039,3,1,0,1,LOS ANGELES,California
2136,6,60011,3,85,3340,4,1,2015,1,11,20,37.37025278,-121.9114222,1,1,0,1,SAN JOSE,California
2139,6,60014,1,37,1980,3,1,2015,7,23,15,34.23560278,-118.4840778,3,1,0,1,LOS ANGELES,California
2142,6,60017,1,37,1980,6,1,2015,3,14,0,33.99323611,-118.3096472,1,1,0,1,LOS ANGELES,California
2144,6,60019,1,61,3110,3,1,2015,7,20,28,38.74436944,-121.2468556,3,1,0,1,ROSEVILLE,California
2145,6,60020,5,1,1364,5,1,2015,2,16,50,37.50049722,-121.9290889,5,1,0,1,FREMONT,California
2146,6,60021,2,1,2480,1,1,2015,5,3,18,37.73498056,-122.1397667,3,1,1,1,OAKLAND,California
2147,6,60022,4,73,3260,11,1,2015,1,0,13,32.5739,-117.0631278,3,10,1,1,SAN DIEGO,California
2148,6,60023,2,65,2278,2,1,2015,6,18,44,33.917325,-117.2165889,3,1,0,1,MORENO VALLEY,California
2151,6,60026,4,37,639,5,1,2015,2,19,51,33.86471111,-118.0477611,3,1,1,1,CERRITOS,California
2153,6,60028,2,71,3210,11,1,2015,1,10,40,34.10675,-117.3026889,1,2,0,1,SAN BERNARDINO,California
2155,6,60030,3,75,3290,10,1,2015,7,17,2,37.78006389,-122.4201722,5,1,0,1,SAN FRANCISCO,California
2157,6,60032,3,37,3686,10,1,2015,7,22,35,34.05886944,-118.0642361,3,2,0,1,SOUTH EL MONTE,California
2159,6,60034,1,59,1660,10,1,2015,7,23,2,33.70107222,-117.9892139,3,2,0,1,HUNTINGTON BEACH,California
2162,6,60037,2,37,1670,9,1,2015,6,2,6,33.98919722,-118.2340639,3,1,1,1,HUNTINGTON PARK,California
